OriginState,DestState,AvgFare
Arkansas,U.S. Pacific Trust Territories and Possessions,1279.862
Arkansas,U.S. Virgin Islands,356.172834
Arkansas,Utah,308.99146
Arkansas,Vermont,359.7653846
Arkansas,Virginia,272.0380258
Arkansas,Washington,329.4561005
Arkansas,West Virginia,314.0240541
Arkansas,Wisconsin,301.1858658
Arkansas,Wyoming,356.654
California,Alabama,328.5766646
California,Alaska,293.5177795
California,Arizona,179.6539576
California,Arkansas,312.6062467
California,California,167.1681072
California,Colorado,233.0837516
California,Connecticut,307.4684014
California,Florida,303.8648625
California,Georgia,306.8912401
California,Hawaii,361.2950918
California,Idaho,207.062405
California,Illinois,286.9667269
California,Indiana,291.3235019
California,Iowa,283.5757245
California,Kansas,264.8268698
California,Kentucky,328.9901037
California,Louisiana,275.09788
California,Maine,334.7878979
California,Maryland,273.9803318
California,Massachusetts,338.7419516
California,Michigan,310.6631932
California,Minnesota,293.0883565
California,Mississippi,317.2001752
California,Missouri,262.5218998
California,Montana,224.1266698
California,Nebraska,255.217823
California,Nevada,155.6155644
California,New Hampshire,295.6147427
California,New Jersey,420.0340506
California,New Mexico,210.2465418
California,New York,396.8425154
California,North Carolina,326.7494422
California,North Dakota,299.0807023
California,Ohio,291.3662232
California,Oklahoma,268.1185134
California,Oregon,180.2441692
California,Pennsylvania,323.4517124
California,Puerto Rico,343.5723585
California,Rhode Island,306.5017506
California,South Carolina,324.1859613
California,South Dakota,292.9683938
California,Tennessee,288.970178
California,Texas,257.7405008
California,U.S. Pacific Trust Territories and Possessions,956.5563652
California,U.S. Virgin Islands,431.5174898
California,Utah,183.4528942
California,Vermont,330.0250254
California,Virginia,350.7533831
California,Washington,182.5125988
California,West Virginia,376.1717162
California,Wisconsin,279.0504936
California,Wyoming,317.3014789
Colorado,Alabama,291.3416321
Colorado,Alaska,357.729979
Colorado,Arizona,174.987247
Colorado,Arkansas,268.7886037
Colorado,California,234.0094587
Colorado,Colorado,265.6326075
Colorado,Connecticut,256.4227595
Colorado,Florida,260.134065
Colorado,Georgia,237.236113
Colorado,Hawaii,461.5230298
Colorado,Idaho,233.8475683
Colorado,Illinois,251.0852043
Colorado,Indiana,227.4796865
Colorado,Iowa,253.973388
Colorado,Kansas,277.7415415
Colorado,Kentucky,258.1728048
Colorado,Louisiana,236.4274387
Colorado,Maine,293.8758811
Colorado,Maryland,277.1670355
Colorado,Massachusetts,294.4265455
Colorado,Michigan,234.3036529
Colorado,Minnesota,205.8297427
Colorado,Mississippi,287.3235702
Colorado,Missouri,210.7936376
Colorado,Montana,262.5814515
Colorado,Nebraska,190.168638
Colorado,Nevada,183.624734
Colorado,New Hampshire,269.9317386
