StatePair,OriginState,DestState,TotalFare,TotalTickets,AvgFare
Idaho:Oklahoma,Idaho,Oklahoma,269915.7700000001,962,280.5777234927236
South Carolina:Nevada,South Carolina,Nevada,1590176.3299999984,5397,294.6407874745226
Iowa:Wisconsin,Iowa,Wisconsin,163019.02,581,280.58351118760754
Mississippi:Colorado,Mississippi,Colorado,480784.14,1697,283.31416617560404
Maryland:Minnesota,Maryland,Minnesota,1528026.7299999993,6436,237.41869639527647
Nevada:South Dakota,Nevada,South Dakota,461734.43999999977,1966,234.85983723296022
Arkansas:Louisiana,Arkansas,Louisiana,379675.48999999993,1515,250.6108844884488
Wisconsin:New Jersey,Wisconsin,New Jersey,1512844.550000001,5746,263.2865558649497
Pennsylvania:Iowa,Pennsylvania,Iowa,1149542.3600000006,4213,272.85600759553773
Kentucky:Georgia,Kentucky,Georgia,2602569.9500000034,10413,249.93469221165884
Wisconsin:Arkansas,Wisconsin,Arkansas,472018.8200000006,1588,297.2410705289676
Puerto Rico:North Dakota,Puerto Rico,North Dakota,97427.64,213,457.40676056338026
Georgia:Iowa,Georgia,Iowa,1112492.5800000003,4081,272.60293555501113
Virginia:California,Virginia,California,45794047.500000276,130118,351.94244839299927
Minnesota:Massachusetts,Minnesota,Massachusetts,3336211.2600000044,11323,294.6402243221765
Oregon:Hawaii,Oregon,Hawaii,5529834.009999999,17193,321.63287442563825
Utah:Colorado,Utah,Colorado,1921938.9999999984,11033,174.1991298830779
Idaho:Illinois,Idaho,Illinois,1019005.2799999989,3306,308.2290623109494
Idaho:Kentucky,Idaho,Kentucky,301276.16000000003,848,355.27849056603776
Michigan:Maine,Michigan,Maine,549882.0799999997,2069,265.77190913484765
Vermont:Indiana,Vermont,Indiana,107408.60000000003,350,306.8817142857144
Indiana:Missouri,Indiana,Missouri,697549.1100000001,3230,215.95947678018578
Alaska:Massachusetts,Alaska,Massachusetts,839568.0600000002,2337,359.2503465982029
New Jersey:Tennessee,New Jersey,Tennessee,2888856.8000000063,11270,256.33157054126053
Kansas:Colorado,Kansas,Colorado,520482.80000000016,1866,278.92968917470535
U.S. Pacific Trust Territories and Possessions:Colorado,U.S. Pacific Trust Territories and Possessions,Colorado,91223.45999999999,75,1216.3128
North Carolina:New Jersey,North Carolina,New Jersey,5436360.649999993,23198,234.34609233554588
Washington:Maine,Washington,Maine,400399.8400000001,1192,335.9059060402685
Nebraska:Nevada,Nebraska,Nevada,964799.3599999992,4377,220.42480237605648
Connecticut:Texas,Connecticut,Texas,3666647.43,12838,285.60892896089734
Puerto Rico:New Mexico,Puerto Rico,New Mexico,142770.90000000005,467,305.71927194860825
Maryland:Illinois,Maryland,Illinois,2651049.2,13439,197.26536200610167
Minnesota:Vermont,Minnesota,Vermont,280379.6400000001,960,292.0621250000001
Arizona:Alaska,Arizona,Alaska,1595371.8200000005,5197,306.97937656340207
Kansas:West Virginia,Kansas,West Virginia,25604.44,72,355.6172222222222
Iowa:New Jersey,Iowa,New Jersey,617426.3500000006,2096,294.57364026717585
Colorado:New York,Colorado,New York,10676722.930000005,36606,291.66592717040936
Florida:Georgia,Florida,Georgia,11165611.160000037,57696,193.52487451469838
Iowa:Texas,Iowa,Texas,3078965.7399999993,11497,267.80601374271544
California:Puerto Rico,California,Puerto Rico,3879275.4999999963,11291,343.5723585156316
Missouri:Maryland,Missouri,Maryland,1730411.0600000017,8038,215.27880816123434
Arizona:Tennessee,Arizona,Tennessee,2910051.589999996,10302,282.4744311784116
Alaska:Colorado,Alaska,Colorado,1852903.5099999995,5180,357.70338030888024
Idaho:Wisconsin,Idaho,Wisconsin,414223.3700000001,1294,320.11079598145295
Iowa:Indiana,Iowa,Indiana,322083.13000000006,1254,256.8446012759171
North Dakota:Wyoming,North Dakota,Wyoming,81857.72999999998,244,335.4824999999999
New Hampshire:Idaho,New Hampshire,Idaho,34677.37,94,368.90819148936174
Arkansas:Missouri,Arkansas,Missouri,146068.80999999997,633,230.75641390205365
South Dakota:U.S. Virgin Islands,South Dakota,U.S. Virgin Islands,22531.980000000003,52,433.30730769230775
Indiana:Oregon,Indiana,Oregon,1153571.3699999999,3800,303.5714131578947
Alabama:Alabama,Alabama,Alabama,33321.20000000001,99,336.5777777777779
Utah:Illinois,Utah,Illinois,2657495.3700000052,10956,242.56073110624362
Mississippi:West Virginia,Mississippi,West Virginia,46129.86,154,299.54454545454547
Mississippi:Nebraska,Mississippi,Nebraska,135703.72,500,271.40744
West Virginia:Nevada,West Virginia,Nevada,214052.7500000001,635,337.0909448818899
Montana:Maine,Montana,Maine,107159.33999999998,282,379.997659574468
Kansas:Vermont,Kansas,Vermont,21770.530000000002,58,375.3539655172414
Iowa:Maryland,Iowa,Maryland,399651.30000000034,1583,252.46449778900842
Louisiana:Washington,Louisiana,Washington,2066574.0300000012,7885,262.0892872542804
South Carolina:New Mexico,South Carolina,New Mexico,308321.13999999996,1087,283.6441030358785
Virginia:Mississippi,Virginia,Mississippi,1241603.2299999984,4634,267.93336858006006
Idaho:Alabama,Idaho,Alabama,142799.97,379,376.78092348284963
U.S. Virgin Islands:Mississippi,U.S. Virgin Islands,Mississippi,48394.26,109,443.98403669724775
Rhode Island:Washington,Rhode Island,Washington,400327.93,1265,316.46476679841896
Alaska:California,Alaska,California,5714065.080000003,19291,296.20367425224214
South Dakota:West Virginia,South Dakota,West Virginia,18426.99,53,347.67905660377363
Minnesota:Maryland,Minnesota,Maryland,1518841.9500000004,6473,234.64266182604672
Virginia:Missouri,Virginia,Missouri,5900063.829999987,25675,229.7980070107103
Idaho:Pennsylvania,Idaho,Pennsylvania,732616.13,1976,370.7571508097166
U.S. Pacific Trust Territories and Possessions:Washington,U.S. Pacific Trust Territories and Possessions,Washington,253316.68999999994,281,901.4828825622774
Utah:New Jersey,Utah,New Jersey,1501037.4300000013,4481,334.9782258424462
Nebraska:New York,Nebraska,New York,1359582.940000001,5183,262.3158286706543
Wisconsin:Kansas,Wisconsin,Kansas,180039.08,663,271.55215686274505
Florida:North Carolina,Florida,North Carolina,15881859.539999977,72920,217.79840290729535
New Jersey:North Carolina,New Jersey,North Carolina,5336395.360000007,23000,232.01718956521768
South Dakota:North Carolina,South Dakota,North Carolina,482124.3299999998,1633,295.23841396203295
Kentucky:New Jersey,Kentucky,New Jersey,2257794.800000006,6973,323.79102251541747
South Dakota:New Mexico,South Dakota,New Mexico,107299.69999999997,356,301.4036516853932
Puerto Rico:Idaho,Puerto Rico,Idaho,64712.64999999998,158,409.57373417721504
Tennessee:Minnesota,Tennessee,Minnesota,2863730.580000002,10089,283.84682129051464
California:Illinois,California,Illinois,34404153.919999905,119889,286.9667268890382
Rhode Island:Pennsylvania,Rhode Island,Pennsylvania,821523.6500000005,3594,228.58198386199234
West Virginia:Massachusetts,West Virginia,Massachusetts,149081.23999999996,479,311.23432150313147
Michigan:Vermont,Michigan,Vermont,273970.81999999995,950,288.3903368421052
Puerto Rico:Colorado,Puerto Rico,Colorado,900728.1300000006,3017,298.55092144514435
New York:Maine,New York,Maine,1216972.5899999999,5573,218.3693863269334
Alaska:U.S. Virgin Islands,Alaska,U.S. Virgin Islands,22626.890000000003,39,580.1766666666667
Michigan:Connecticut,Michigan,Connecticut,1169236.619999999,4172,280.25805848513875
North Dakota:Michigan,North Dakota,Michigan,598504.75,1813,330.1184500827358
North Carolina:New Hampshire,North Carolina,New Hampshire,803072.93,3830,209.67961618798958
Puerto Rico:Louisiana,Puerto Rico,Louisiana,567798.1599999992,2066,274.8296999031942
Maine:Washington,Maine,Washington,416316.5799999998,1225,339.8502693877549
Massachusetts:West Virginia,Massachusetts,West Virginia,141255.80000000005,473,298.63805496828763
Montana:Alabama,Montana,Alabama,211024.6999999999,539,391.51150278293113
Georgia:New Hampshire,Georgia,New Hampshire,589172.1700000003,2508,234.9171331738438
Vermont:South Carolina,Vermont,South Carolina,194201.17999999982,802,242.14610972568556
Oklahoma:Massachusetts,Oklahoma,Massachusetts,858094.1100000003,3054,280.9738408644402
Iowa:Maine,Iowa,Maine,107147.73000000001,398,269.2154020100503
North Carolina:U.S. Virgin Islands,North Carolina,U.S. Virgin Islands,822803.8700000002,2339,351.77591705857213
Indiana:Kansas,Indiana,Kansas,186092.30999999982,723,257.3890871369292
Hawaii:Connecticut,Hawaii,Connecticut,495215.4199999997,917,540.0386259541981
Virginia:Arizona,Virginia,Arizona,7043743.44,22542,312.47198296513176
Washington:Arizona,Washington,Arizona,5314616.279999998,26211,202.76282018999652
Texas:Alaska,Texas,Alaska,3630257.0699999994,8657,419.343545108005
Alabama:Massachusetts,Alabama,Massachusetts,1083778.7199999997,3584,302.3936160714285
Massachusetts:North Carolina,Massachusetts,North Carolina,4672524.099999997,23180,201.57567299396018
Mississippi:California,Mississippi,California,1862021.6500000008,5888,316.2400900135871
Massachusetts:Washington,Massachusetts,Washington,3467653.220000002,12128,285.92127473614795
Maryland:Pennsylvania,Maryland,Pennsylvania,200616.11000000004,1205,166.486398340249
West Virginia:Maryland,West Virginia,Maryland,36468.64000000001,113,322.7313274336284
Puerto Rico:Nevada,Puerto Rico,Nevada,718845.2000000009,2310,311.18839826839866
New Hampshire:Louisiana,New Hampshire,Louisiana,202737.17999999993,820,247.24046341463406
Mississippi:Connecticut,Mississippi,Connecticut,133477.45000000004,472,282.79120762711875
California:North Carolina,California,North Carolina,24105613.349999852,73774,326.74944221541267
Illinois:New Jersey,Illinois,New Jersey,6603277.719999992,24737,266.9393103448273
New Hampshire:U.S. Pacific Trust Territories and Possessions,New Hampshire,U.S. Pacific Trust Territories and Possessions,1217.5,2,608.75
Maryland:Texas,Maryland,Texas,7512398.989999994,33255,225.9028413772363
North Carolina:Ohio,North Carolina,Ohio,4209850.719999981,19580,215.00769765066298
Arkansas:Puerto Rico,Arkansas,Puerto Rico,170046.89000000007,540,314.9016481481483
Washington:South Carolina,Washington,South Carolina,1641020.9299999985,5122,320.3867493166729
Nevada:Puerto Rico,Nevada,Puerto Rico,701013.9399999992,2277,307.86734299516877
New York:Connecticut,New York,Connecticut,144996.80000000008,588,246.5931972789117
Indiana:New Hampshire,Indiana,New Hampshire,266313.9200000001,1012,263.15604743083014
Idaho:West Virginia,Idaho,West Virginia,24236.649999999998,60,403.9441666666666
Montana:Illinois,Montana,Illinois,1292489.389999999,3597,359.32426744509286
California:Alaska,California,Alaska,5625855.279999994,19167,293.5177795168776
Puerto Rico:Rhode Island,Puerto Rico,Rhode Island,267925.95,1204,222.5298588039867
U.S. Virgin Islands:Wyoming,U.S. Virgin Islands,Wyoming,6842.290000000001,11,622.0263636363637
Alabama:Michigan,Alabama,Michigan,1409493.470000001,4706,299.50987462813447
Missouri:South Carolina,Missouri,South Carolina,1627342.2099999958,6960,233.81353591953962
New Hampshire:Kentucky,New Hampshire,Kentucky,305436.6499999996,1116,273.6887544802864
Vermont:Wisconsin,Vermont,Wisconsin,166900.59000000003,559,298.5699284436494
California:South Carolina,California,South Carolina,6360528.559999987,19620,324.18596126401565
Hawaii:New York,Hawaii,New York,6488778.560000026,12096,536.4400264550286
Ohio:Connecticut,Ohio,Connecticut,885745.1800000006,3815,232.1743591087813
Idaho:North Dakota,Idaho,North Dakota,296558.72000000015,829,357.73066344993987
Maryland:Iowa,Maryland,Iowa,397818.32999999984,1561,254.84838565022412
Kansas:Massachusetts,Kansas,Massachusetts,267738.85999999975,1027,260.6999610516064
South Carolina:Pennsylvania,South Carolina,Pennsylvania,3255593.909999999,15097,215.64508909054774
Iowa:Massachusetts,Iowa,Massachusetts,705974.2099999997,2570,274.69813618677034
Florida:Maine,Florida,Maine,3398602.639999999,14727,230.77358864670327
Minnesota:Maine,Minnesota,Maine,458173.4899999997,1547,296.16903038138315
Maine:West Virginia,Maine,West Virginia,40500.30000000001,125,324.0024000000001
California:Kentucky,California,Kentucky,10149344.700000066,30850,328.99010372771687
New Hampshire:Florida,New Hampshire,Florida,2700799.9399999944,13678,197.45576400058448
Idaho:U.S. Pacific Trust Territories and Possessions,Idaho,U.S. Pacific Trust Territories and Possessions,15137.42,11,1376.129090909091
Nebraska:New Mexico,Nebraska,New Mexico,193277.16999999984,754,256.335769230769
Indiana:Florida,Indiana,Florida,8115943.49999999,39692,204.47302982968836
Missouri:Massachusetts,Missouri,Massachusetts,2918806.730000003,12015,242.9302313774451
Nebraska:Indiana,Nebraska,Indiana,396924.7900000002,1557,254.92921644187552
Illinois:Nevada,Illinois,Nevada,5919435.150000019,24863,238.08209588545304
Wisconsin:Colorado,Wisconsin,Colorado,2331913.8099999977,9916,235.16678196853547
South Carolina:Kansas,South Carolina,Kansas,210657.67,737,285.831302578019
Illinois:New York,Illinois,New York,15383757.870000044,67770,226.99952589641498
Michigan:South Dakota,Michigan,South Dakota,344794.76000000007,1083,318.3700461680518
Washington:Missouri,Washington,Missouri,3841689.7300000065,15469,248.34764561380868
Oklahoma:Louisiana,Oklahoma,Louisiana,973141.0000000007,4054,240.04464726196366
Alabama:Georgia,Alabama,Georgia,702020.0199999996,2619,268.04888125238625
Maryland:Arkansas,Maryland,Arkansas,546593.3399999993,2484,220.04562801932337
Louisiana:South Dakota,Louisiana,South Dakota,217300.78999999998,706,307.7914872521246
Oregon:Wyoming,Oregon,Wyoming,196858.30000000008,672,292.94389880952394
Arizona:Louisiana,Arizona,Louisiana,1769416.9500000044,6982,253.42551561157325
Pennsylvania:Arkansas,Pennsylvania,Arkansas,1321766.1700000004,4375,302.1179817142858
Oregon:Vermont,Oregon,Vermont,220572.84000000017,648,340.39018518518543
Georgia:Arkansas,Georgia,Arkansas,1952343.210000003,6843,285.3051600175366
California:Arkansas,California,Arkansas,4607503.470000008,14739,312.60624669244913
Georgia:Virginia,Georgia,Virginia,7851628.229999981,35369,221.99180723232155
Pennsylvania:Virginia,Pennsylvania,Virginia,2233347.900000003,9073,246.15319078584847
Washington:Virginia,Washington,Virginia,7338180.879999985,22449,326.88230567063056
Vermont:Alaska,Vermont,Alaska,64052.22999999999,143,447.9176923076922
Florida:Mississippi,Florida,Mississippi,1435994.1200000006,5313,270.2793374741202
Georgia:U.S. Pacific Trust Territories and Possessions,Georgia,U.S. Pacific Trust Territories and Possessions,69068.73,60,1151.1454999999999
Connecticut:Nevada,Connecticut,Nevada,1331683.7400000016,5074,262.45245171462386
Pennsylvania:U.S. Pacific Trust Territories and Possessions,Pennsylvania,U.S. Pacific Trust Territories and Possessions,38613.17,36,1072.5880555555555
Utah:Nevada,Utah,Nevada,1171224.0799999982,7543,155.27297892085355
Maine:Kansas,Maine,Kansas,47258.840000000004,144,328.1863888888889
Missouri:Oregon,Missouri,Oregon,2224909.3399999957,9052,245.79201723376002
South Carolina:Tennessee,South Carolina,Tennessee,1387915.6400000015,5934,233.89208628244043
Wisconsin:New Hampshire,Wisconsin,New Hampshire,264880.95,950,278.82205263157897
Missouri:Maine,Missouri,Maine,510802.2999999998,1817,281.12399559713805
Hawaii:Pennsylvania,Hawaii,Pennsylvania,3904921.820000002,7432,525.4200511302479
Kentucky:Connecticut,Kentucky,Connecticut,854559.8600000001,2994,285.42413493653976
Massachusetts:Alabama,Massachusetts,Alabama,1021662.9500000005,3515,290.65802275960186
New Jersey:Arkansas,New Jersey,Arkansas,714867.260000001,2016,354.5968551587307
Oklahoma:Tennessee,Oklahoma,Tennessee,1157404.0299999993,4515,256.3464075304539
Wisconsin:Minnesota,Wisconsin,Minnesota,1339551.3999999987,6406,209.1088666874803
Wyoming:Michigan,Wyoming,Michigan,258970.1000000001,814,318.1450859950861
Connecticut:Washington,Connecticut,Washington,937145.4499999994,2848,329.05387991573014
Oregon:New York,Oregon,New York,4407721.030000009,13696,321.8254256717296
Louisiana:Missouri,Louisiana,Missouri,1927055.9000000022,8643,222.96146014115496
North Carolina:Indiana,North Carolina,Indiana,2906358.8199999826,12250,237.25378122448836
Massachusetts:North Dakota,Massachusetts,North Dakota,355586.4599999997,1157,307.334883318928
Oregon:Alaska,Oregon,Alaska,2230561.44,8224,271.2258560311284
Missouri:Georgia,Missouri,Georgia,3848505.400000007,18530,207.6905234754456
Tennessee:Illinois,Tennessee,Illinois,4611561.979999997,21851,211.04580934510992
Arizona:North Carolina,Arizona,North Carolina,5076882.180000015,16938,299.7332731137097
Texas:Washington,Texas,Washington,12953008.989999963,48659,266.1996545346177
North Dakota:Kansas,North Dakota,Kansas,108860.29999999999,317,343.4078864353312
Washington:North Carolina,Washington,North Carolina,4472517.119999979,13987,319.76243082862504
North Carolina:Massachusetts,North Carolina,Massachusetts,4773817.460000003,23390,204.09651389482696
Minnesota:New York,Minnesota,New York,7497342.35999999,24851,301.69177739326346
Arizona:Indiana,Arizona,Indiana,2209617.869999992,8388,263.42606938483453
Oklahoma:Mississippi,Oklahoma,Mississippi,216208.20999999993,845,255.86770414201175
Michigan:Minnesota,Michigan,Minnesota,3524612.4100000006,13044,270.20947638761123
Indiana:Washington,Indiana,Washington,1768872.6999999979,5798,305.08325284580854
Wyoming:Nebraska,Wyoming,Nebraska,80636.46999999999,228,353.6687280701754
North Dakota:North Carolina,North Dakota,North Carolina,555468.84,1840,301.88523913043474
Maryland:Oregon,Maryland,Oregon,1214797.030000001,4473,271.58440196735995
Iowa:Nevada,Iowa,Nevada,818992.3799999999,3805,215.24109855453347
Oregon:Kentucky,Oregon,Kentucky,1216338.7500000014,3694,329.2741608012998
Connecticut:South Carolina,Connecticut,South Carolina,810899.6199999996,3669,221.01379667484318
Utah:Idaho,Utah,Idaho,843746.9300000003,2983,282.8518035534698
Oregon:Wisconsin,Oregon,Wisconsin,1522547.929999999,4897,310.9144231161934
U.S. Pacific Trust Territories and Possessions:North Dakota,U.S. Pacific Trust Territories and Possessions,North Dakota,6989.0,6,1164.8333333333333
New Mexico:Vermont,New Mexico,Vermont,66096.11000000002,216,306.00050925925933
Maryland:New Jersey,Maryland,New Jersey,87454.23000000001,340,257.2183235294118
Connecticut:Virginia,Connecticut,Virginia,1728684.4599999993,9419,183.53163393141514
Connecticut:Wyoming,Connecticut,Wyoming,100499.65000000008,279,360.2137992831544
South Dakota:Nevada,South Dakota,Nevada,456613.3700000003,1963,232.60996943453912
Maryland:Louisiana,Maryland,Louisiana,1301606.37,5760,225.97332812500002
Connecticut:New Jersey,Connecticut,New Jersey,32466.79,72,450.9276388888889
Maine:Indiana,Maine,Indiana,293017.0199999999,1144,256.13375874125865
Ohio:South Dakota,Ohio,South Dakota,321544.09,1035,310.67061835748797
North Carolina:Arizona,North Carolina,Arizona,5075008.429999978,17061,297.4625420549779
Maine:Maryland,Maine,Maryland,254946.80000000008,1287,198.09386169386175
Colorado:Montana,Colorado,Montana,1910280.059999999,7275,262.5814515463916
Virginia:Colorado,Virginia,Colorado,8837506.93999999,29662,297.9403593823744
Connecticut:Puerto Rico,Connecticut,Puerto Rico,789491.6700000011,3162,249.68111005692634
North Carolina:Washington,North Carolina,Washington,4529828.650000018,14107,321.1050294180207
Kansas:New Hampshire,Kansas,New Hampshire,34199.89000000001,115,297.390347826087
New Mexico:Arizona,New Mexico,Arizona,618786.2600000001,3711,166.74380490433848
South Dakota:New Hampshire,South Dakota,New Hampshire,32707.849999999995,94,347.95585106382975
Hawaii:Tennessee,Hawaii,Tennessee,2170082.7400000026,3863,561.7609992234021
Utah:Puerto Rico,Utah,Puerto Rico,401420.34999999986,1221,328.7635954135953
Illinois:North Carolina,Illinois,North Carolina,7738598.149999993,35125,220.3159615658361
New Mexico:Maryland,New Mexico,Maryland,763200.8100000005,2896,263.5361912983427
Louisiana:Oklahoma,Louisiana,Oklahoma,994737.2299999988,4124,241.20689379243424
Wisconsin:Ohio,Wisconsin,Ohio,1592885.049999998,5722,278.37907200279585
Montana:Oklahoma,Montana,Oklahoma,379167.52,1188,319.1645791245791
Iowa:Illinois,Iowa,Illinois,1101849.5299999996,5251,209.83613216530176
New York:Maryland,New York,Maryland,1117031.14,6409,174.2910188797004
New Jersey:Alabama,New Jersey,Alabama,698976.2600000002,2388,292.7036264656617
South Carolina:Maine,South Carolina,Maine,431010.4300000003,1827,235.91156540777246
Oregon:Massachusetts,Oregon,Massachusetts,2285808.8700000024,7919,288.6486766005812
Virginia:Pennsylvania,Virginia,Pennsylvania,2036665.5999999975,8534,238.6531052261539
Maine:Arkansas,Maine,Arkansas,112953.58,363,311.1668870523416
Utah:Alaska,Utah,Alaska,886948.1100000012,2934,302.29996932515377
Montana:Montana,Montana,Montana,248.48,4,62.12
Oklahoma:Colorado,Oklahoma,Colorado,1963821.7599999974,9957,197.23026614442077
Rhode Island:Wisconsin,Rhode Island,Wisconsin,362271.90000000026,1270,285.2534645669293
Arizona:North Dakota,Arizona,North Dakota,911832.3999999993,3793,240.39873451094104
Wisconsin:Louisiana,Wisconsin,Louisiana,1044798.8500000013,4349,240.23887100482898
U.S. Pacific Trust Territories and Possessions:Oklahoma,U.S. Pacific Trust Territories and Possessions,Oklahoma,35578.1,32,1111.815625
Vermont:New Jersey,Vermont,New Jersey,228092.61000000007,1263,180.5958907363421
Maine:Utah,Maine,Utah,247367.37999999998,772,320.4240673575129
Connecticut:Missouri,Connecticut,Missouri,1018804.8300000011,4003,254.51032475643296
Michigan:Wisconsin,Michigan,Wisconsin,1900426.9099999983,5997,316.8962664665663
Ohio:Pennsylvania,Ohio,Pennsylvania,2532233.809999996,9774,259.07855637405316
Oklahoma:New Jersey,Oklahoma,New Jersey,957517.3900000006,3555,269.3438509142055
Michigan:New Mexico,Michigan,New Mexico,693196.9800000004,2478,279.7405084745765
Texas:Oregon,Texas,Oregon,7711375.81999998,29463,261.7308427519255
North Carolina:Utah,North Carolina,Utah,2253587.340000002,7655,294.39416590463776
Wyoming:Missouri,Wyoming,Missouri,292878.46,892,328.3390807174888
North Carolina:Oregon,North Carolina,Oregon,2695528.6799999997,8440,319.3754360189573
Utah:New York,Utah,New York,5035429.790000004,15586,323.07389901193403
New Mexico:North Dakota,New Mexico,North Dakota,166611.73999999996,554,300.74321299638984
Minnesota:Arizona,Minnesota,Arizona,3470879.5799999987,15435,224.8707210884353
Kansas:Alaska,Kansas,Alaska,106419.31999999996,263,404.636197718631
Vermont:Nebraska,Vermont,Nebraska,57907.72000000001,174,332.8029885057472
North Dakota:Missouri,North Dakota,Missouri,722047.2100000002,2278,316.9654126426691
Kansas:Oregon,Kansas,Oregon,276344.6000000001,972,284.30514403292193
Arkansas:Oregon,Arkansas,Oregon,497342.2400000005,1486,334.6852220726787
Colorado:Louisiana,Colorado,Louisiana,2776603.8400000017,11744,236.42743869209824
New Jersey:Iowa,New Jersey,Iowa,617049.8399999995,2096,294.39400763358753
South Dakota:Minnesota,South Dakota,Minnesota,492927.4,1402,351.58873038516407
Nebraska:Montana,Nebraska,Montana,260785.14,914,285.3229102844639
Colorado:South Dakota,Colorado,South Dakota,598853.7899999998,2416,247.8699461920529
Georgia:Arizona,Georgia,Arizona,3366286.15000001,12037,279.66155603555785
New Hampshire:North Dakota,New Hampshire,North Dakota,29231.119999999995,87,335.9898850574712
Illinois:Ohio,Illinois,Ohio,5355297.950000006,25064,213.66493576444324
Montana:Arizona,Montana,Arizona,1028475.899999999,5205,197.59383285302573
Missouri:New Hampshire,Missouri,New Hampshire,439836.52999999974,1740,252.77961494252858
Maine:New Jersey,Maine,New Jersey,445191.7100000001,2132,208.81412288930585
Alabama:Tennessee,Alabama,Tennessee,275117.32999999996,870,316.226816091954
Tennessee:Washington,Tennessee,Washington,3072122.369999999,10563,290.838054529963
Ohio:Indiana,Ohio,Indiana,231203.45000000004,928,249.1416487068966
Kansas:Connecticut,Kansas,Connecticut,110254.67999999992,396,278.4209090909089
Texas:Oklahoma,Texas,Oklahoma,6600184.169999982,30507,216.34982692496746
Vermont:Minnesota,Vermont,Minnesota,295314.21000000014,989,298.59879676440863
Mississippi:Florida,Mississippi,Florida,1390604.540000001,5176,268.6639374034005
Oklahoma:Michigan,Oklahoma,Michigan,1055734.0700000008,3948,267.40984549138824
California:Wisconsin,California,Wisconsin,9594593.119999968,34383,279.05049355786196
Michigan:Indiana,Michigan,Indiana,899178.3200000001,2941,305.7389731383883
Mississippi:Kansas,Mississippi,Kansas,65634.58000000002,238,275.7755462184875
New Hampshire:Oregon,New Hampshire,Oregon,161305.63999999993,555,290.64079279279264
Connecticut:Tennessee,Connecticut,Tennessee,1116270.560000002,4475,249.44593519553115
Kansas:New York,Kansas,New York,641466.8300000003,2289,280.238894713849
Wyoming:Pennsylvania,Wyoming,Pennsylvania,516736.26999999984,1424,362.8765941011235
Alabama:Maryland,Alabama,Maryland,813124.7999999995,3349,242.79629740220946
Oregon:Oklahoma,Oregon,Oklahoma,855996.6899999994,3044,281.2078482260182
North Dakota:Arkansas,North Dakota,Arkansas,157343.30999999997,441,356.7875510204081
U.S. Virgin Islands:Maryland,U.S. Virgin Islands,Maryland,355177.67000000016,1116,318.2595609318998
Michigan:New Jersey,Michigan,New Jersey,3660722.459999999,12858,284.70387774148384
Kentucky:Tennessee,Kentucky,Tennessee,563457.4900000001,2055,274.1885596107056
Wisconsin:U.S. Pacific Trust Territories and Possessions,Wisconsin,U.S. Pacific Trust Territories and Possessions,9581.56,8,1197.695
Texas:Illinois,Texas,Illinois,20503028.049999826,86955,235.78894888160343
New York:Virginia,New York,Virginia,9385977.459999971,39795,235.8582098253542
Florida:Illinois,Florida,Illinois,24651237.289999902,114144,215.96612428160833
Minnesota:U.S. Pacific Trust Territories and Possessions,Minnesota,U.S. Pacific Trust Territories and Possessions,10444.570000000002,12,870.3808333333335
Maine:Massachusetts,Maine,Massachusetts,2251.39,15,150.09266666666664
New York:New Jersey,New York,New Jersey,819193.6800000009,4447,184.21265572295948
Wyoming:Arkansas,Wyoming,Arkansas,84197.74999999999,191,440.82591623036643
Ohio:Missouri,Ohio,Missouri,2666253.779999999,11618,229.49335341711128
Oklahoma:Wyoming,Oklahoma,Wyoming,247617.87000000002,725,341.54188965517244
North Dakota:Mississippi,North Dakota,Mississippi,156319.17,407,384.0765847665848
Missouri:Wisconsin,Missouri,Wisconsin,1403117.6900000013,6422,218.48609311740913
Louisiana:Indiana,Louisiana,Indiana,997687.6300000016,3898,255.94859671626517
Pennsylvania:Wyoming,Pennsylvania,Wyoming,508409.11000000016,1416,359.0459816384182
Wisconsin:Washington,Wisconsin,Washington,2098860.6500000004,7327,286.45566398253044
North Carolina:North Dakota,North Carolina,North Dakota,567547.3,1870,303.50122994652406
Utah:New Mexico,Utah,New Mexico,519675.52,2364,219.82890016920476
Utah:Wyoming,Utah,Wyoming,191860.18,746,257.1852278820375
Kansas:Puerto Rico,Kansas,Puerto Rico,83586.23999999998,278,300.6699280575539
Georgia:Wyoming,Georgia,Wyoming,388676.3800000002,1162,334.4891394148022
Virginia:Iowa,Virginia,Iowa,1761128.9800000004,7400,237.99040270270277
Illinois:Utah,Illinois,Utah,2717151.0099999993,11084,245.14173673763977
Montana:New Hampshire,Montana,New Hampshire,42745.63999999999,124,344.72290322580636
Texas:Puerto Rico,Texas,Puerto Rico,3920763.430000003,12913,303.62916673120134
Kentucky:Florida,Kentucky,Florida,8555168.959999973,39126,218.6568767571429
South Carolina:New York,South Carolina,New York,4927513.809999982,25271,194.98689446400942
Alabama:Illinois,Alabama,Illinois,1586652.0100000007,6817,232.7493046794779
U.S. Pacific Trust Territories and Possessions:Indiana,U.S. Pacific Trust Territories and Possessions,Indiana,11177.69,10,1117.769
U.S. Virgin Islands:Minnesota,U.S. Virgin Islands,Minnesota,377025.4699999998,1004,375.5233764940237
Michigan:California,Michigan,California,20166127.290000062,64783,311.2873329422852
Vermont:North Carolina,Vermont,North Carolina,528547.6399999997,2538,208.25360126083518
Nevada:Ohio,Nevada,Ohio,3636880.3500000047,15073,241.28443906322596
Massachusetts:Iowa,Massachusetts,Iowa,709828.3300000004,2586,274.4889133797372
