StatePair,OriginState,DestState,TotalFare,TotalTickets,AvgFare
Massachusetts:Montana,Massachusetts,Montana,947922.2399999988,2839,333.8930045790767
Georgia:North Carolina,Georgia,North Carolina,4043774.910000001,17407,232.30739989659338
Virginia:Ohio,Virginia,Ohio,3852159.969999995,18261,210.9501106182572
Louisiana:Hawaii,Louisiana,Hawaii,1112478.7999999984,2104,528.7446768060829
Iowa:New York,Iowa,New York,1558676.8399999992,5737,271.68848527104745
Arizona:Minnesota,Arizona,Minnesota,3500686.3800000013,15547,225.16796681031718
Tennessee:Connecticut,Tennessee,Connecticut,1146749.1199999976,4573,250.76516947299314
Montana:Iowa,Montana,Iowa,215917.77,688,313.8339680232558
Texas:Arizona,Texas,Arizona,11465768.539999958,49095,233.54248986658433
Colorado:Colorado,Colorado,Colorado,1538278.430000001,5791,265.632607494388
U.S. Pacific Trust Territories and Possessions:California,U.S. Pacific Trust Territories and Possessions,California,1089062.7300000004,1154,943.7285355285966
Hawaii:Colorado,Hawaii,Colorado,6086900.010000002,12997,468.33115411248764
New Mexico:Mississippi,New Mexico,Mississippi,101646.0,379,268.19525065963063
Illinois:Alabama,Illinois,Alabama,1683255.260000003,6908,243.66752460914924
Ohio:Illinois,Ohio,Illinois,5047374.1299999915,26225,192.4642184938033
Nevada:New Jersey,Nevada,New Jersey,4908840.399999995,13721,357.76112528241345
West Virginia:Virginia,West Virginia,Virginia,149323.05999999997,658,226.93474164133733
Minnesota:Ohio,Minnesota,Ohio,3375651.469999997,11677,289.0855074077243
Pennsylvania:Utah,Pennsylvania,Utah,2557639.620000002,8159,313.4746439514649
Oklahoma:Iowa,Oklahoma,Iowa,182984.29000000004,685,267.13035036496353
Georgia:Utah,Georgia,Utah,2602985.8700000104,8085,321.9524885590613
Vermont:New Mexico,Vermont,New Mexico,61745.12000000001,205,301.19570731707324
California:Hawaii,California,Hawaii,40666652.94000009,112558,361.2950917749079
Tennessee:Massachusetts,Tennessee,Massachusetts,2987686.6999999974,12914,231.35253987920066
Utah:Kentucky,Utah,Kentucky,1148225.88,3656,314.06615973741793
Vermont:North Dakota,Vermont,North Dakota,24442.010000000002,73,334.82205479452057
Oklahoma:Wisconsin,Oklahoma,Wisconsin,589916.2000000003,2145,275.0192074592076
Georgia:Illinois,Georgia,Illinois,6784984.649999995,34185,198.47841597191734
Pennsylvania:Illinois,Pennsylvania,Illinois,8443621.659999998,38010,222.14211154959216
U.S. Virgin Islands:Washington,U.S. Virgin Islands,Washington,251907.77999999994,620,406.30287096774185
Ohio:Nebraska,Ohio,Nebraska,702307.8600000001,2736,256.69146929824564
North Dakota:Alabama,North Dakota,Alabama,203250.05,561,362.2995543672014
Idaho:Michigan,Idaho,Michigan,526150.3099999996,1620,324.7841419753084
Massachusetts:South Carolina,Massachusetts,South Carolina,1879346.4900000012,9634,195.0743709777871
Colorado:Vermont,Colorado,Vermont,524479.7399999998,1774,295.64810597519715
Minnesota:North Dakota,Minnesota,North Dakota,1036542.2299999996,3102,334.15287878787865
Colorado:Minnesota,Colorado,Minnesota,2456166.319999998,11933,205.82974273024368
Connecticut:Wisconsin,Connecticut,Wisconsin,661763.9000000008,2305,287.0993058568333
Montana:Connecticut,Montana,Connecticut,233042.78000000006,635,366.99650393700796
Missouri:Pennsylvania,Missouri,Pennsylvania,4701157.639999977,19178,245.13284179789224
Oklahoma:Arkansas,Oklahoma,Arkansas,52201.86000000001,223,234.08905829596415
Minnesota:South Carolina,Minnesota,South Carolina,1251356.5900000008,4482,279.19602632753254
Missouri:Arizona,Missouri,Arizona,3487938.369999997,14401,242.20112283869153
Tennessee:New Mexico,Tennessee,New Mexico,745173.7999999999,2767,269.30748102638233
Nevada:New York,Nevada,New York,11196852.310000012,36512,306.66225651840523
Idaho:Vermont,Idaho,Vermont,43923.69,119,369.1066386554622
Arkansas:Vermont,Arkansas,Vermont,46769.49999999999,130,359.76538461538456
Iowa:Kansas,Iowa,Kansas,46427.21999999999,155,299.53045161290316
South Carolina:North Dakota,South Carolina,North Dakota,172049.49000000002,519,331.5019075144509
Colorado:Maine,Colorado,Maine,702069.4799999996,2389,293.8758811218081
Kansas:Alabama,Kansas,Alabama,176641.87,608,290.5293914473684
Nebraska:West Virginia,Nebraska,West Virginia,35471.96000000001,115,308.4518260869566
Alabama:South Dakota,Alabama,South Dakota,133770.81999999998,387,345.6610335917312
South Carolina:New Jersey,South Carolina,New Jersey,1732831.3800000015,8440,205.31177488151675
Connecticut:Kansas,Connecticut,Kansas,111427.51000000008,403,276.49506203473965
Florida:Virginia,Florida,Virginia,25078683.340000045,123253,203.47320827890636
Louisiana:Texas,Louisiana,Texas,8361970.759999988,40420,206.87705987135053
Utah:Indiana,Utah,Indiana,866417.2200000002,2989,289.8685915021747
Texas:Nebraska,Texas,Nebraska,3668560.799999989,14337,255.88064448629345
Hawaii:West Virginia,Hawaii,West Virginia,126165.94999999995,210,600.7902380952379
Georgia:Idaho,Georgia,Idaho,765136.8199999996,2297,333.1026643447974
Florida:Iowa,Florida,Iowa,3025887.9200000013,12653,239.1439121157039
Ohio:North Dakota,Ohio,North Dakota,384793.02999999997,1348,285.45477002967357
Utah:Arizona,Utah,Arizona,1879587.290000001,10297,182.53736913664184
Pennsylvania:Wisconsin,Pennsylvania,Wisconsin,2751693.1799999955,10196,269.87967634366373
Oregon:Montana,Oregon,Montana,1063507.2100000016,5367,198.15673746972269
Texas:Texas,Texas,Texas,37698338.65999995,188390,200.10796040129492
Arizona:Utah,Arizona,Utah,1871829.7800000026,9990,187.3703483483486
Michigan:Kentucky,Michigan,Kentucky,1418872.1200000008,4179,339.52431682220646
Arkansas:South Dakota,Arkansas,South Dakota,93574.66999999998,297,315.0662289562289
Pennsylvania:Idaho,Pennsylvania,Idaho,655366.52,1962,334.0298267074414
Wisconsin:Texas,Wisconsin,Texas,6613684.36000002,25014,264.39931078596067
Alabama:U.S. Virgin Islands,Alabama,U.S. Virgin Islands,97832.16,280,349.4005714285714
Kentucky:California,Kentucky,California,10357225.529999942,31350,330.3740200956919
New Hampshire:Texas,New Hampshire,Texas,992604.599999999,3924,252.95733944954105
Colorado:New Mexico,Colorado,New Mexico,760325.9500000002,3898,195.0554002052335
Arkansas:South Carolina,Arkansas,South Carolina,459510.42000000016,1738,264.39034522439596
Illinois:Montana,Illinois,Montana,1311087.920000001,3658,358.4165992345547
New Jersey:Louisiana,New Jersey,Louisiana,2386900.249999999,10212,233.73484625930269
Puerto Rico:Missouri,Puerto Rico,Missouri,823262.780000002,2955,278.59992554991607
Nebraska:Idaho,Nebraska,Idaho,210529.48999999993,786,267.849223918575
North Dakota:Washington,North Dakota,Washington,933089.9900000002,2813,331.70635975826525
Massachusetts:Tennessee,Massachusetts,Tennessee,2910631.8800000027,12677,229.59942257631954
Nebraska:Michigan,Nebraska,Michigan,853277.2600000002,3135,272.177754385965
Oregon:Tennessee,Oregon,Tennessee,1719976.2899999965,5722,300.59005417686063
U.S. Virgin Islands:Ohio,U.S. Virgin Islands,Ohio,406450.2799999996,1188,342.129865319865
Utah:Rhode Island,Utah,Rhode Island,236496.71999999994,784,301.6539795918367
Indiana:Indiana,Indiana,Indiana,10708.689999999999,37,289.424054054054
Illinois:South Dakota,Illinois,South Dakota,773631.6599999997,2625,294.71682285714274
Alabama:Pennsylvania,Alabama,Pennsylvania,1958920.0500000003,7256,269.97244349503865
Kentucky:Alabama,Kentucky,Alabama,511402.9700000001,1621,315.48610117211604
Missouri:Michigan,Missouri,Michigan,3450833.920000003,14760,233.79633604336064
Alaska:Alabama,Alaska,Alabama,341385.6099999999,678,503.5185988200589
Florida:Montana,Florida,Montana,2293274.3899999936,6688,342.89389802631484
